island,site,date,type,number,result,ground
guam,anao,1-Aug-13,native,135,unpredated,n
guam,anao,1-Aug-13,native,136,unpredated,n
guam,anao,1-Aug-13,native,137,unpredated,n
guam,anao,1-Aug-13,native,138,unpredated,n
guam,anao,1-Aug-13,native,139,unpredated,n
guam,anao,1-Aug-13,native,140,unpredated,n
guam,anao,1-Aug-13,native,141,predated,n
guam,anao,1-Aug-13,native,142,unpredated,n
guam,anao,1-Aug-13,native,143,unpredated,n
guam,anao,1-Aug-13,native,144,unpredated,n
guam,anao,1-Aug-13,native,145,unpredated,n
guam,anao,1-Aug-13,native,146,unpredated,n
guam,anao,1-Aug-13,native,147,predated,n
guam,anao,1-Aug-13,native,148,unpredated,n
guam,anao,1-Aug-13,native,149,unpredated,n
guam,anao,1-Aug-13,native,150,unpredated,n
guam,anao,1-Aug-13,native,151,unpredated,n
guam,anao,1-Aug-13,native,152,unpredated,n
rota,calvo,18-Jul-13,disturbed,1,unpredated,n
rota,calvo,18-Jul-13,disturbed,2,predated,n
rota,calvo,18-Jul-13,disturbed,3,unpredated,n
rota,calvo,18-Jul-13,disturbed,4,predated,n
rota,calvo,18-Jul-13,disturbed,5,unpredated,n
rota,calvo,18-Jul-13,disturbed,6,unpredated,n
rota,calvo,18-Jul-13,disturbed,7,unpredated,n
rota,calvo,18-Jul-13,disturbed,8,unpredated,n
rota,calvo,18-Jul-13,disturbed,9,predated,n
rota,calvo,18-Jul-13,disturbed,10,unpredated,y
rota,calvo,18-Jul-13,disturbed,11,unpredated,n
rota,calvo,18-Jul-13,disturbed,12,unpredated,n
rota,calvo,18-Jul-13,disturbed,13,unpredated,n
rota,calvo,18-Jul-13,disturbed,14,unpredated,n
rota,calvo,18-Jul-13,disturbed,15,missing,n
rota,calvo,18-Jul-13,disturbed,16,unpredated,n
rota,calvo,18-Jul-13,disturbed,17,missing,n
rota,calvo,18-Jul-13,disturbed,19,predated,n
rota,calvo,18-Jul-13,disturbed,20,unpredated,n
rota,calvo,18-Jul-13,disturbed,21,unpredated,n
rota,calvo,18-Jul-13,disturbed,22,unpredated,n
rota,calvo,18-Jul-13,disturbed,23,unpredated,n
rota,calvo,18-Jul-13,disturbed,24,unpredated,n
rota,calvo,18-Jul-13,disturbed,25,unpredated,n
rota,calvo,18-Jul-13,disturbed,26,missing,n
rota,calvo,18-Jul-13,disturbed,27,unpredated,n
