island,site,date,type,number,result,ground
rota,grvp,16-Jul-13,native,33,0,n
rota,grvp,16-Jul-13,native,34,0,n
rota,grvp,16-Jul-13,native,36,0,n
rota,grvp,16-Jul-13,native,37,0,n
rota,grvp,16-Jul-13,native,38,0,n
rota,grvp,16-Jul-13,native,39,0,n
rota,grvp,16-Jul-13,native,40,0,n
rota,grvp,16-Jul-13,native,41,0,n
rota,grvp,16-Jul-13,native,42,0,n
rota,grvp,16-Jul-13,native,43,0,n
rota,grvp,16-Jul-13,native,44,0,n
rota,grvp,16-Jul-13,native,45,0,n
rota,grvp,16-Jul-13,native,46,0,n
rota,grvp,16-Jul-13,native,47,0,n
rota,grvp,16-Jul-13,native,48,0,n
rota,grvp,16-Jul-13,native,51,0,n
rota,grvp,16-Jul-13,native,52,0,n
rota,grvp,16-Jul-13,native,53,0,n
rota,grvp,16-Jul-13,native,54,0,n
rota,grvp,16-Jul-13,native,55,0,n
rota,grvp,16-Jul-13,native,57,0,n
rota,grvp,16-Jul-13,native,58,0,n
rota,grvp,16-Jul-13,native,59,0,n
rota,grvp,16-Jul-13,native,60,0,n
rota,grvp,16-Jul-13,native,61,0,n
rota,grvp,16-Jul-13,native,62,0,n
rota,grvp,16-Jul-13,native,63,0,n
rota,grvp,16-Jul-13,native,64,0,n
rota,grvp,16-Jul-13,native,65,0,n
rota,grvp,16-Jul-13,native,66,0,n
rota,grvp,16-Jul-13,native,68,0,n
rota,grvp,16-Jul-13,native,69,0,n
rota,grvp,16-Jul-13,native,70,0,n
rota,grvp,16-Jul-13,native,71,0,n
rota,grvp,16-Jul-13,native,72,0,n
rota,grvp,16-Jul-13,native,73,0,n
rota,grvp,16-Jul-13,native,75,0,n
rota,grvp,16-Jul-13,native,76,0,n
rota,grvp,16-Jul-13,native,77,0,n
rota,grvp,16-Jul-13,native,78,0,n
rota,grvp,16-Jul-13,native,79,0,n
rota,grvp,16-Jul-13,native,80,0,n
rota,grvp,16-Jul-13,native,82,0,n
rota,grvp,16-Jul-13,native,84,0,n
rota,grvp,16-Jul-13,native,86,0,n
rota,grvp,16-Jul-13,native,88,0,n
rota,grvp,16-Jul-13,native,89,0,n
rota,grvp,16-Jul-13,native,91,0,n
rota,grvp,16-Jul-13,native,92,0,n
rota,grvp,16-Jul-13,native,93,0,n
rota,grvp,16-Jul-13,native,94,0,n
rota,grvp,16-Jul-13,native,95,0,n
rota,grvp,16-Jul-13,native,96,0,n
rota,grvp,16-Jul-13,native,97,0,n
rota,grvp,16-Jul-13,native,98,0,n
rota,grvp,16-Jul-13,native,99,0,n
rota,grvp,16-Jul-13,native,100,0,n
